method,d,PSNR,SSIM,Accuracy
Harmonic(DCT),16,15.755,0.3138,0.7521
Harmonic(DCT),32,16.146,0.3765,0.7604
Harmonic(DCT),64,16.376,0.4317,0.8083
Separate(LDA+PCA),16,19.149,0.4425,0.9958
Separate(LDA+PCA),32,21.578,0.5308,0.9958
Separate(LDA+PCA),64,24.849,0.6508,0.9958
Separate(PCA+PCA),16,17.859,0.3947,0.7021
Separate(PCA+PCA),32,19.979,0.4647,0.7979
Separate(PCA+PCA),64,22.064,0.5471,0.8333
SharedPCA-Linear,16,19.979,0.4647,0.7979
SharedPCA-Linear,32,22.064,0.547,0.8313
SharedPCA-Linear,64,25.219,0.6647,0.8333
SharedPCA-MLP,16,22.335,0.6092,0.7979
SharedPCA-MLP,32,23.324,0.6412,0.8313
SharedPCA-MLP,64,24.754,0.6895,0.8333
SharedPCA-ROT,16,16.882,0.4175,0.7979
SharedPCA-ROT,32,17.18,0.4143,0.8313
SharedPCA-ROT,64,15.482,0.3706,0.8333
